Company ID,Address,Zip Code,Company Name,Industry,Latitude,Longitude,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due Date,Contact Status,Close Probability,Priority Score,UrgencyBand,Urgency Score,Totals
CID-CNC002,"11790 FM3270, Tyler, TX 75708",75708,CNC Fabrication,Metal,32.4352525,-95.1940445,Interested,01/15/2026,56,68,02/18/2026,Disqualified,0,95,High,115,102.5
CID-HOL003,"4301 Old Troup Hwy, Tyler, TX 75707",75707,Holliday Sheet Metal Co,Metal,32.3041014,-95.2666812,Follow-up,01/13/2026,2,,,FOLLOW-UP REQUIRED,0.2,95,High,150,175
CID-STA004,"11967 State Hwy 64, Tyler, TX 75704",75704,Stainless Steel Fabricators,Metal,32.3575579,-95.364907,Initial contact,12/22/2025,24,,,FOLLOW-UP REQUIRED,0.2,95,High,150,175
CID-TEX005,"10544 FM2908, Tyler, TX 75708",75708,Texas Metal Carports,Metal,32.4124222,-95.1677719,Account Won,11/25/2025,51,-12,11/30/2025,Won,1,95,High,170,205
CID-ONE006,"14762 TX-110, Whitehouse, TX 75791",75791,One-Ten Welding,Metal,32.2639775,-95.2405148,Initial Contact,01/09/2026,6,,,FOLLOW-UP REQUIRED,0.2,95,High,150,175
CID-CAT007,"12198 State Hwy 64, Tyler, TX 75704",75704,Cates Machine Shop,Metal,32.3592199,-95.3688191,Interested,11/14/2025,62,62,02/12/2026,FOLLOW-UP REQUIRED,0.2,95,High,150,175
CID-CRA008,"18199 County Rd 4108, Lindale, TX 75771",75771,Craig's Dirt Service,Metal,32.531384,-95.400937,No Outreach,12/30/1899,,,,Never Contacted,0,95,High,145,167.5
CID-GLE009,"3025 Old Henderson Hwy, Tyler, TX 75707",75707,Glenwood Blind & Awning,Metal,32.3386998,-95.2626079,Interested (Hot),12/30/1899,,,,Never Contacted,0,95,High,145,167.5
CID-PAC010,"10551 Pac Rd, Tyler, TX 75707",75707,PAC-CLAD | Petersen,Metal,32.2904588,-95.2357853,No Outreach,12/30/1899,,,,Never Contacted,0,95,High,145,167.5
CID-SQU011,"16421 FM 756, Tyler, TX 75703",75703,Squiers Metal Fabrication Inc,Metal,32.2413257,-95.2718047,Not Interested,01/11/2026,-24,,,Nurture,0.3,95,High,152.5,178.75
CID-TAY012,"10801 County Rd 1268, Flint, TX 75762",75762,Taylor Buildings LLC,Metal,32.2302649,-95.3473579,No Outreach,12/30/1899,,,,Never Contacted,0,95,High,145,167.5
CID-EMO013,"1634 Pinion Rd, Gilmer, TX 75645",75645,Emory Custom Tooling,Metal,32.625261,-94.995569,No Outreach,12/30/1899,,,,Never Contacted,0,95,High,145,167.5
CID-AAR014,"18410 FM 2767, Winona, TX 75792",75792,AARON MCGAUGHEY,Metal,32.3812614,-95.0955328,No Outreach,12/30/1899,,,,Never Contacted,0,95,High,145,167.5
CID-ALL015,"4425 DC Dr A, Tyler, TX 75701",75701,All Star Fabrication Inc.,Metal,32.3007439,-95.3253438,Not Interested,12/30/1899,,,,Never Contacted,0,95,High,145,167.5
